league_id,league_name,alt_league_name,country
7921,FA Women's Super League,Women's Super League,England
2411,Barclays Premier League,Premier League,England
1854,Italy Serie A,Serie A,Italy
1818,UEFA Champions League,UEFA Champions League,
1975,Mexican Primera Division Torneo Clausura,Liga MX,Mexico
1951,Major League Soccer,Major League Soccer,USA
1859,Norwegian Tippeligaen,Eliteserien,Norway
4582,National Women's Soccer League,Women's Soccer League,USA
1866,Russian Premier Liga,Premier League,Russia
1952,Mexican Primera Division Torneo Apertura,Liga MX,Mexico
1827,Austrian T-Mobile Bundesliga,Bundesliga,Austria
1879,Swiss Raiffeisen Super League,Super League,Switzerland
1846,German 2. Bundesliga,2. Bundesliga,Germany
2417,Scottish Premiership,Premiership,Scotland
1849,Dutch Eredivisie,Eredivisie,Netherland
1871,Spanish Segunda Division,La Liga 2,Spain
5641,Argentina Primera Division,Primera División,Argentina
2160,United Soccer League,USL Championship,USA
1832,Belgian Jupiler League,Eredivisie,Belgium
1979,Chinese Super League,Super League,China
1983,South African ABSA Premier League,Premier Division,South Africa
2414,English League Two,League Two,England
1948,Australian A-League,A-League,Australia
10281,UEFA Europa Conference League,UEFA Europa Conference League,
1843,French Ligue 1,Ligue 1,France
1869,Spanish Primera Division,La Liga,Spain
1845,German Bundesliga,Bundesliga,Germany
1874,Swedish Allsvenskan,Allsvenskan,Sweden
2105,Brasileiro SÃ©rie A,Brasileirão,Brazil
1844,French Ligue 2,Ligue 2,France
2412,English League Championship,Championship,England
1864,Portuguese Liga,Primeira Liga,Portugal
1882,Turkish Turkcell Super Lig,Süper Lig,Turkey
1856,Italy Serie B,Serie B,Italy
1820,UEFA Europa League,UEFA Europa League,
1837,Danish SAS-Ligaen,Superliga,Denmark
1947,Japanese J League,J1 League,Japan
2413,English League One,League One,England
1884,Greek Super League,Super League,Greece
9541,NWSL Challenge Cup,NWSL Challenge Cup,USA
